stage,lead_s,seed,tag,config_id,name,n_res,sr,leak,ridge,washout,lead_n,pred_n,win_s,rel_deg,amp_pred_deg,amp_leadend_deg,horizon,censored,horizon_strict,censored_strict,n_nonfinite,rms
Stage1,32.0,42,1451,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.985005803037957,74.19936385103162,42.42480750282421,40.84863226229289,0.23343130227000586,0,0.23343130227000586,0,0,146.59564917567982
Stage1,32.0,42,1451,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.985005803037957,74.19936385103162,42.42480750282421,40.84863226229289,0.4835362689878693,0,0.4835362689878693,0,0,126.75123897723992
Stage1,32.0,42,1451,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.985005803037957,74.19936385103162,42.42480750282421,40.84863226229289,0.8003358934971629,0,0.8003358934971629,0,0,30.13914343342645
Stage1,32.0,42,1452,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9849834009052927,70.04543290946849,45.047020706426224,47.773322386142034,0.2667771314413585,0,0.2667771314413585,0,0,142.27224295011072
Stage1,32.0,42,1452,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9849834009052927,70.04543290946849,45.047020706426224,47.773322386142034,1.3005385157766227,0,1.3005385157766227,0,0,103.06104124965468
Stage1,32.0,42,1452,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9849834009052927,70.04543290946849,45.047020706426224,47.773322386142034,1.4839477936425567,0,1.4839477936425567,0,0,7.300557727277071
Stage1,32.0,42,1453,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.984990179087653,38.23791350685693,31.33372344827401,30.648428958173014,3.984990179087653,1,3.984990179087653,1,0,0.17667887449319458
Stage1,32.0,42,1453,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.984990179087653,38.23791350685693,31.33372344827401,30.648428958173014,3.984990179087653,1,3.984990179087653,1,0,0.09462527441863972
Stage1,32.0,42,1453,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.984990179087653,38.23791350685693,31.33372344827401,30.648428958173014,3.984990179087653,1,3.984990179087653,1,0,0.2629975480109764
Stage1,32.0,42,1454,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9849962049334433,90.56120790760053,60.37481496938252,61.665485116066904,0.2667779886147912,0,0.2667779886147912,0,0,137.94306875634345
Stage1,32.0,42,1454,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9849962049334433,90.56120790760053,60.37481496938252,61.665485116066904,0.3834933586337623,0,0.3834933586337623,0,0,130.77993140838802
Stage1,32.0,42,1454,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9849962049334433,90.56120790760053,60.37481496938252,61.665485116066904,0.8336812144212224,0,0.8336812144212224,0,0,59.55186737402812
Stage1,32.0,42,1455,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.985006207078115,104.32970424569315,54.81004413973373,57.34201688660365,0.11671566296881508,0,0.11671566296881508,0,0,138.62149680564747
Stage1,32.0,42,1455,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.985006207078115,104.32970424569315,54.81004413973373,57.34201688660365,0.13338932910721724,0,0.13338932910721724,0,0,120.21778881135967
Stage1,32.0,42,1455,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.985006207078115,104.32970424569315,54.81004413973373,57.34201688660365,0.23343132593763016,0,0.23343132593763016,0,0,89.30902449523374
Stage1,32.0,42,1456,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.984987982338893,62.45901886263692,40.37895287738694,42.237220616273845,0.20008307861115782,0,0.20008307861115782,0,0,167.26342262661703
Stage1,32.0,42,1456,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.984987982338893,62.45901886263692,40.37895287738694,42.237220616273845,0.6836171852547892,0,0.6836171852547892,0,0,66.89289878516124
Stage1,32.0,42,1456,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.984987982338893,62.45901886263692,40.37895287738694,42.237220616273845,1.3505607806253153,0,1.3505607806253153,0,0,10.353019111360453
Stage1,32.0,42,1458,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9851540360186846,81.67813025850883,46.05179821890489,44.404079495046105,0.20009141603441094,0,0.20009141603441094,0,0,171.03350117956714
Stage1,32.0,42,1458,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9851540360186846,81.67813025850883,46.05179821890489,44.404079495046105,0.3334856933906849,0,0.3334856933906849,0,0,82.37511790194655
Stage1,32.0,42,1458,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9851540360186846,81.67813025850883,46.05179821890489,44.404079495046105,0.8503885181462465,0,0.8503885181462465,0,0,45.316024369204676
Stage1,32.0,42,1459,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9851852339175764,91.60052256944563,54.22825204115044,55.082312693308324,0.10004649122805631,0,0.10004649122805631,0,0,119.74051567663625
Stage1,32.0,42,1459,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9851852339175764,91.60052256944563,54.22825204115044,55.082312693308324,0.13339532163740841,0,0.13339532163740841,0,0,98.51975611027846
Stage1,32.0,42,1459,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9851852339175764,91.60052256944563,54.22825204115044,55.082312693308324,0.8503951754384786,0,0.8503951754384786,0,0,67.78329469548603
Stage1,32.0,42,1460,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9851553268522935,62.42315810939042,36.04542270094273,36.77210428321749,3.9351324566407584,0,3.9351324566407584,0,0,3.1093449932374133
Stage1,32.0,42,1460,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9851553268522935,62.42315810939042,36.04542270094273,36.77210428321749,3.9851553268522935,1,3.9851553268522935,1,0,0.31678274406489754
Stage1,32.0,42,1460,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9851553268522935,62.42315810939042,36.04542270094273,36.77210428321749,3.9851553268522935,1,3.9851553268522935,1,0,0.5893753468764003
Stage1,32.0,42,1430,nres1600_sr1.1_leak0.1_ridge1e-08_wo50,,1600,1.1,0.1,1e-08,50,1919,239,3.984989726530003,101.26100730441047,57.57934903315852,57.207283499483495,0.5002079154640171,0,0.5002079154640171,0,0,136.99872982394476
Stage1,32.0,42,1430,nres1600_sr1.1_leak0.1_ridge1e-06_wo50,,1600,1.1,0.1,1e-06,50,1919,239,3.984989726530003,101.26100730441047,57.57934903315852,57.207283499483495,1.0004158309280342,0,1.0004158309280342,0,0,28.980942993160262
Stage1,32.0,42,1430,nres1600_sr1.1_leak0.1_ridge0.0001_wo50,,1600,1.1,0.1,0.0001,50,1919,239,3.984989726530003,101.26100730441047,57.57934903315852,57.207283499483495,0.7169646788317579,0,0.7169646788317579,0,0,38.04291999295877
Stage1,32.0,42,1431,nres1600_sr1.1_leak0.1_ridge1e-08_wo50,,1600,1.1,0.1,1e-08,50,1919,239,3.985008439180792,87.1304493646118,34.15422257320449,35.643853248298434,1.8674516535073167,0,1.8674516535073167,0,0,13.975770967427765
Stage1,32.0,42,1431,nres1600_sr1.1_leak0.1_ridge1e-06_wo50,,1600,1.1,0.1,1e-06,50,1919,239,3.985008439180792,87.1304493646118,34.15422257320449,35.643853248298434,2.817851155738719,0,2.817851155738719,0,0,7.680481023610813
