stage,lead_s,seed,config_id,name,n_res,sr,leak,ridge,washout,n_clips,median,q1,q3,mean,n_censored,cens_rate,median_estimable,median_is_lower_bound,median_strict,n_censored_strict,n_clips_nonfinite,rms_median,median_uncens,rank_in_lead
Stage1,8.0,42,nres800_sr1.1_leak0.25_ridge0.0001_wo50,,800,1.1,0.25,0.0001,50,29,0.31679962450929366,0.18341856725143657,0.9670671014749246,1.0567642131412531,5,0.1724137931034483,1,1,0.31679962450929366,5,0,56.239835426916095,0.28345236558008224,23.0
Stage1,8.0,42,nres800_sr0.9_leak0.25_ridge0.0001_wo50,,800,0.9,0.25,0.0001,50,29,0.3167985582699089,0.1500685620258082,0.7836612796734803,1.017093371236802,5,0.1724137931034483,1,1,0.3167985582699089,5,0,54.04348305664401,0.25844156150509434,25.0
Stage1,8.0,42,nres800_sr0.95_leak0.25_ridge1e-05_wo200,paper-ESN(w200),800,0.95,0.25,1e-05,200,29,0.3167985582699089,0.15006261859582004,0.583577257406418,0.951547475475711,5,0.1724137931034483,1,1,0.3167985582699089,5,0,60.38766053050569,0.2250946118799586,25.0
Stage1,8.0,42,nres1600_sr1.1_leak0.5_ridge1e-06_wo50,,1600,1.1,0.5,1e-06,50,29,0.31679846377690524,0.13338897548055684,0.550228466180684,0.9572970571645152,5,0.1724137931034483,1,1,0.31679846377690524,5,0,56.1600751071771,0.266783978199566,27.0
Stage1,8.0,42,nres1600_sr1.1_leak0.1_ridge0.0001_wo50,,1600,1.1,0.1,0.0001,50,29,0.3001261404204598,0.1667362428842445,0.9503935307598397,0.9503982166793892,4,0.13793103448275862,1,1,0.3001261404204598,4,0,53.57815305073087,0.2667781748143625,28.0
Stage1,8.0,42,nres400_sr0.7_leak0.25_ridge0.0001_wo50,,400,0.7,0.25,0.0001,50,29,0.3001259600614361,0.1500630702102299,0.9837436710616885,1.0211169528159212,5,0.1724137931034483,1,1,0.3001259600614361,5,0,77.33451278934338,0.24176810690062212,29.0
Stage1,8.0,42,nres800_sr0.7_leak0.5_ridge0.0001_wo50,,800,0.7,0.5,0.0001,50,29,0.3001259600614361,0.1500630702102299,0.6335959404493394,0.9205009852252203,4,0.13793103448275862,1,1,0.3001259600614361,4,0,57.724397858656246,0.2334309029625672,29.0
Stage1,8.0,42,nres800_sr0.9_leak0.5_ridge0.0001_wo50,,800,0.9,0.5,0.0001,50,29,0.3001259600614361,0.15006295729108388,0.9503935307598397,1.011917591062127,5,0.1724137931034483,1,1,0.3001259600614361,5,0,50.45165156431061,0.20842030583806093,29.0
Stage1,8.0,42,nres800_sr0.9_leak1.0_ridge0.0001_wo50,,800,0.9,1.0,0.0001,50,29,0.3001259600614361,0.15006261859582004,0.4668618059251344,0.8601306720325886,4,0.13793103448275862,1,1,0.3001259600614361,4,0,74.41884497608282,0.21675778121067069,29.0
Stage1,8.0,42,nres1600_sr0.7_leak0.25_ridge0.0001_wo50,,1600,0.7,0.25,0.0001,50,29,0.3001259600614361,0.1500685620258082,0.9837406721900095,1.0722894188271297,5,0.1724137931034483,1,1,0.3001259600614361,5,0,53.88618112142476,0.2501047435421455,29.0
Stage1,8.0,42,nres800_sr0.95_leak0.1_ridge0.0001_wo50,,800,0.95,0.1,0.0001,50,29,0.3001259378349914,0.1500630792996951,0.6169223630690936,1.0050190350344834,4,0.13793103448275862,1,1,0.3001259378349914,4,0,57.93065651481654,0.25010453888846484,34.0
