side,subset,model,level,sigma_theta_deg,sigma_omega,n,median,q25,q75,mean,std,min,max,cens_frac,median_of_trial_medians,n_trials,median_vs_ideal
insim,chaos_own,Hybrid,th0.1,0.1,0.0,800.0,3.45,2.6416666666666666,3.96875,3.552583333333333,1.6290151853816053,0.49166666666666664,10.0,0.0025,3.4458333333333337,40.0,
insim,chaos_own,Hybrid,th0.45,0.45,0.0,800.0,3.025,1.8562500000000002,4.266666666666667,3.3389374999999997,2.0834764697386925,0.3416666666666667,10.0,0.0125,3.09375,40.0,
insim,chaos_own,Hybrid,th0.5,0.5,0.0,800.0,2.8,1.7062499999999998,4.145833333333334,3.2399270833333333,2.089275051000125,0.3333333333333333,10.0,0.0075,3.0666666666666664,40.0,
insim,chaos_own,Hybrid,th1.0,1.0,0.0,800.0,1.9,1.0583333333333333,3.25,2.5027291666666667,1.9902961334016878,0.21666666666666667,10.0,0.005,1.925,40.0,
insim,chaos_own,Hybrid,w0.03,0.0,0.03,800.0,3.4208333333333334,2.6083333333333334,3.875,3.534572916666667,1.689221736579565,0.5666666666666667,10.0,0.01125,3.435416666666667,40.0,
insim,chaos_own,Hybrid,w0.09,0.0,0.09,800.0,3.1,2.1291666666666664,4.2375,3.4173541666666667,2.022754814336176,0.25833333333333336,10.0,0.0125,3.2375,40.0,
insim,chaos_own,Hybrid,w0.2,0.0,0.2,800.0,2.191666666666667,1.1895833333333332,3.658333333333333,2.7364687500000002,2.065896528183453,0.14166666666666666,10.0,0.00875,2.125,40.0,
insim,chaos_own,Hybrid,joint_0.45_0.09,0.45,0.09,800.0,2.433333333333333,1.4333333333333333,3.75625,2.9880520833333333,2.0692906470275707,0.21666666666666667,10.0,0.0125,2.466666666666667,40.0,
insim,chaos_own,Hybrid,det_joint_0.45_0.09,0.45,0.09,40.0,3.0541666666666667,2.029166666666667,3.85625,3.0318750000000003,1.51066470848671,0.5166666666666667,7.591666666666667,0.0,3.0541666666666667,40.0,
insim,all50,Analytic,clean,0.0,0.0,50.0,10.0,10.0,10.0,9.839833333333333,0.8009654215857035,5.425,10.0,0.96,10.0,50.0,
insim,all50,Analytic,th0.1,0.1,0.0,1000.0,10.0,7.354166666666667,10.0,8.511483333333334,2.5858811463885365,0.5416666666666666,10.0,0.68,10.0,50.0,
insim,all50,Analytic,th0.45,0.45,0.0,1000.0,4.854166666666666,2.55625,10.0,5.8500499999999995,3.5919182141706156,0.325,10.0,0.362,4.177083333333334,50.0,
insim,all50,Analytic,th0.5,0.5,0.0,1000.0,4.316666666666666,2.3833333333333333,10.0,5.632275,3.6224688069616535,0.31666666666666665,10.0,0.346,3.8479166666666664,50.0,
